A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I1039646936\!RES-202000053,R0402,RES,VISHAYB!R178!discrete.resistor!!!RES!!!F232!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231692\!RES-202000053,R0402,RES,VISHAYB!R223!discrete.resistor!!!RES!!!F231!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231527\!RES-202000053,R0402,RES,VISHAYB!R237!discrete.resistor!!!RES!!!F230!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231512\!RES-202000053,R0402,RES,VISHAYB!R28!discrete.resistor!!!RES!!!F229!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231508\!RES-202000053,R0402,RES,VISHAYB!R294!discrete.resistor!!!RES!!!F228!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231509\!RES-202000053,R0402,RES,VISHAYB!R295!discrete.resistor!!!RES!!!F227!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231566\!RES-202000053,R0402,RES,VISHAYB!R327!discrete.resistor!!!RES!!!F226!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231567\!RES-202000053,R0402,RES,VISHAYB!R328!discrete.resistor!!!RES!!!F225!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231499\!RES-202000053,R0402,RES,VISHAYB!R62!discrete.resistor!!!RES!!!F224!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231500\!RES-202000053,R0402,RES,VISHAYB!R63!discrete.resistor!!!RES!!!F223!!!!!!!
